name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
STYLX Gents Beauty Parlour,Beauty Parlour,Kollam,919633005033.0,5.0,5858.0,,,,none,,,98,195000,"You have 5858 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Naturals,Beauty Parlour,Thrissur,917592002200.0,4.7,2946.0,,,,none,,,100,195000,"You have 2946 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
MAHARANI SILKS,Clothing Store,Kalpetta,914936202000.0,4.9,2076.0,,,,none,,,98,195000,"You have 2076 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Salon De R, Spa And Makeup",Beauty Parlour,Kollam,919633378666.0,4.7,1953.0,,,,none,,,98,195000,"You have 1953 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Simi's Bridal Studio & Academy | Celebrity Wedding Makeup Artist & Beautician Course In Kottayam,kerala",Make-up Artist,Kottayam,919495523438.0,4.9,1891.0,,https://www.instagram.com/makeoverby_simifemin?igsh=Y2g5cXVzOG00Mzd6,,social_only,,,88,195000,"You have 1891 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
La Reine Family Salon & Makeup Studio,Beauty Parlour,Chengannur,919207120002.0,4.7,1775.0,,,http://facebook.com/larefasa,social_only,,,88,195000,"You have 1775 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Ygary Beauty Salon & Makeover Studio,Beauty Parlour,Palakkad,919074643514.0,4.9,1744.0,,https://instagram.com/ygarybridesofficial,,social_only,,,88,195000,"You have 1744 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Foodwey Caterers,Caterer,Kozhikode,918589801000.0,4.8,1712.0,,,,none,,,100,390000,"You have 1712 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Toni & Guy Essensuals - Beauty | Hair | Nail | Makeup | Best Salon In Calicut,Beauty Parlour,G. A College P. O,917510474474.0,4.8,1577.0,,,,none,,,98,195000,"You have 1577 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Clair Unisex Beauty Spa And Salon,Beauty Parlour,Pandalam,917909298948.0,4.8,1571.0,,,,none,,,98,195000,"You have 1571 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Ashtamudi Wellness, Dental Care,bridal Makeup & Beauty Salon In Kottiyam,best Bridal Studio In Kottiyam",Beauty Parlour,Kottiyam,914742534411.0,4.7,1497.0,,,,none,,,98,195000,"You have 1497 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,,,none,,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Dezert Hair And Beauty Salon,Beauty Parlour,Palathara,919745960111.0,4.7,1426.0,,,,none,,,98,195000,"You have 1426 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Wasava Cliff House,Event Venue,Kannur,919037386205.0,4.9,1379.0,,,,none,,,98,195000,"You have 1379 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
VIOLET Unisex Beauty Care & Bridal Makeup Studio,Beauty Parlour,Mavelikara,919847485975.0,4.7,1312.0,,https://www.instagram.com/violet_beauty_care/,,social_only,,,88,195000,"You have 1312 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
ORANGE WEDDING STORE,Clothing Store,Pathanamthitta,919895799201.0,4.7,1147.0,,,,none,,,98,195000,"You have 1147 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Femino Ferragamo Unisex Studio Saloon,Beauty Parlour,Thiruvananthapuram,918714815745.0,4.7,1116.0,,,,none,,,100,195000,"You have 1116 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Mayfair Ladies Salon Wellness & Spa/bridal Makeup,Beauty Parlour,Thiruvananthapuram,917356067466.0,4.8,1083.0,,,,none,,,100,195000,"You have 1083 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Unique Beauty And Spa Kanhangad,Beauty Parlour,Kanhangad,918891691676.0,4.8,1078.0,,https://www.instagram.com/uniquebeautyandspa/,,social_only,,,88,195000,"You have 1078 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Nakshathra Beauty Parlour And Bridal Studio,Beauty Parlour,Palakkad,919447354732.0,4.8,1070.0,,,,none,,,98,195000,"You have 1070 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
My Fairlady Bridal And Groom Makeup Studio,Make-up Artist,Chavakkad,918075562188.0,4.8,1036.0,,https://www.instagram.com/MyFairLadyBeautyMakeOver/,,social_only,,,88,195000,"You have 1036 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Radhas Bridal Studio,Beauty Parlour,Manjeri,919744884497.0,4.9,986.0,,,,none,,,98,195000,"You have 986 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Naturals,Beauty Parlour,Chavakkad,917592044400.0,4.8,943.0,,,,none,,,98,195000,"You have 943 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Rose Petals Skin And Hair Beauty Parlour Varkala,Beauty Parlour,Varkala,917012463741.0,4.8,917.0,,,,none,,,98,195000,"You have 917 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Belledonna,Beauty Parlour,Kozhikode,919846224871.0,5.0,896.0,,,,none,,,100,195000,"You have 896 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Le Belleza Unisex Salon,Beauty Parlour,Kollam,917907137741.0,4.8,881.0,,,,none,,,98,195000,"You have 881 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Tres Beau By Aadharsh,Beauty Parlour,Thrissur,916238662847.0,4.9,852.0,,,,none,,,100,195000,"You have 852 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Dezert Makeover Studio Tirur,Beauty Parlour,Tirur,919645960111.0,4.8,831.0,,,,none,,,98,195000,"You have 831 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
JOANDGUY BRIDAL MAKE-UP STUDIO & UNISEX FAMILY SALON,Beauty Parlour,Ranni,918848201892.0,4.7,809.0,,,,none,,,98,195000,"You have 809 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Popular Event Management | Catering & Stage Decoration Kollam And Kottarakara,Event Management Company,Kollam,919526041701.0,4.8,798.0,,,,none,,,98,1560000,"You have 798 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
FTV Salon MG Road Kochi,Beauty Parlour,Kochi,918089069996.0,4.8,765.0,,https://www.instagram.com/ftvsalonmgroad_kochi?igsh=dG9iejEwb2cwaTJr,,social_only,,,90,195000,"You have 765 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Anitha's Angel Unisex Salon,Beauty Parlour,Pathanamthitta,919496241000.0,4.7,725.0,,,,none,,,98,195000,"You have 725 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Aiswarya Makeup Gallery & Academy,Beauty Parlour,Thrissur,919544473927.0,4.9,716.0,,https://instagram.com/aiswaryamakeupgallery?igshid=OGQ5ZDc2ODk2ZA%3D%3D,,social_only,,,90,195000,"You have 716 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
The Makeover Bridal & Designing Studio,Make-up Artist,Thiruvananthapuram,918086145731.0,4.9,716.0,,,,none,,,100,195000,"You have 716 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Skin Sense Clinic,Dermatologist,Kannur,917356357776.0,4.7,684.0,,,,none,,,98,195000,"You have 684 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
ADONIS BEAUTY LOUNGE,Beauty Parlour,Kozhikode,919895888157.0,4.9,676.0,,,,none,,,100,195000,"You have 676 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Handsome Unisex Beauty Parlour& Bridal Make Up,Beauty Parlour,Kanhangad,919539071201.0,4.9,671.0,,https://www.instagram.com/beautyandguy_salon?igsh=ZjR3czc2NjdvZW5o,,social_only,,,88,195000,"You have 671 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Regal's Lovely Lady Beauty Parlour,Beauty Parlour,Kottakkal,919495885886.0,4.7,662.0,,,,none,,,98,195000,"You have 662 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Bethsheba Makeup Studio ( ബെത്ഷേബാ മേക്കപ്പ് സ്റ്റുഡിയോ ),Beauty Parlour,Mallappally,918848153139.0,4.9,661.0,,,,none,,,98,195000,"You have 661 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Naturals,Beauty Parlour,Thrissur,917559011658.0,4.8,655.0,,,,none,,,100,195000,"You have 655 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Pink Hair And Bridal Makeovers Studio,Beauty Parlour,Puthukkad,919567365875.0,4.9,639.0,,,,none,,,98,195000,"You have 639 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
CHAMAYAM UNISEX SALON & MAKEOVER STUDIO,Beauty Parlour,Kallambalam,919747197235.0,4.8,638.0,,,,none,,,98,195000,"You have 638 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
IMAC Institute Of Makeup & Cosmetology PVT.LTD,Training Center,Kozhikode,919387262626.0,4.8,607.0,,,,none,,,100,195000,"You have 607 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Inst-aura Mens Makeover Studio,Beauty Parlour,Guruvayur,918592004400.0,4.7,597.0,,,,none,,,98,195000,"You have 597 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
CZARO,Beauty Parlour,Thaikkad,918089695393.0,4.8,594.0,,,,none,,,98,195000,"You have 594 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Pink Bridal Makeovers & Pink Panther Family Salon,Beauty Parlour,Thiruvananthapuram,919895655556.0,4.7,568.0,,,https://www.facebook.com/share/eeyXiNfup2REGPtg/?mibextid=qi2Omg,social_only,,,90,195000,"You have 568 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Tejaswi Beauty Care & Make Up Studio,Supermarket,Thiruvananthapuram,919586725274.0,4.9,547.0,,,,none,,,100,195000,"You have 547 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
WHITE ROSE EVENTS MANKADA,Event Management Company,Perinthalmanna,918943715555.0,4.8,546.0,,,,none,,,98,1560000,"You have 546 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Rans Beauty Salon And Bridal Makeover Studio,Beauty Parlour,Kochi,914844012220.0,4.9,539.0,,,,none,,,100,195000,"You have 539 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
HS Mehndi Wedding Mall,Clothing Store,Chavakkad,914872500402.0,4.7,535.0,,,,none,,,98,195000,"You have 535 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
OLEY Makeup Studio & Accademy,Beauty Parlour,Konni,919961508520.0,4.7,523.0,,,,none,,,98,195000,"You have 523 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
MEHNDI BRIDAL MAKEUP STUDIO,Beauty Parlour,Cherthala,919074103342.0,4.8,517.0,,,,none,,,98,195000,"You have 517 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
D Salon,Beauty Parlour,Neriamangalam,917306149154.0,4.9,505.0,,,,none,,,98,195000,"You have 505 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Laksh Unisex Salon,Beauty Parlour,Kozhencherry,916282175286.0,4.7,504.0,,,,none,,,98,195000,"You have 504 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
BLUBY SIGNATURE SALON,Beauty Parlour,Palakkad,918086353353.0,4.7,499.0,,,,none,,,98,195000,"You have 499 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
City Collections Thrissur | Cosmetics | Salon Furniture | Salon Equipment,Beauty Products Wholesaler,Thrissur,919605351230.0,4.9,495.0,,,,none,,,100,195000,"You have 495 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Collab Hair Makeup Studio,Beauty Parlour,Kozhikode,919961993029.0,4.7,472.0,,,,none,,,100,195000,"You have 472 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
𝐒𝐮𝐢𝐭𝐛𝐚𝐞 | 𝐓𝐡𝐞 𝐏𝐫𝐞𝐦𝐢𝐮𝐦 𝐒𝐮𝐢𝐭 𝐑𝐞𝐧𝐭𝐚𝐥𝐬,Wedding Dress Rental Service,Kattappana,919961336914.0,4.9,471.0,,,,none,,,98,195000,"You have 471 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Natural Beauty Parlour And Makeup Studio,Beauty Parlour,Alakode,919446738784.0,4.7,465.0,,https://www.instagram.com/shalas_natural_makeupstudio/,,social_only,,,88,195000,"You have 465 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Reethi Beauty Salon And Bridal Makeup Studio,Beauty Parlour,Konni,919605381227.0,5.0,456.0,,,,none,,,98,195000,"You have 456 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Ayna Beauty Parlour,Beauty Parlour,Kochi,918848786460.0,4.8,453.0,,,,none,,,100,195000,"You have 453 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Glaze Makeup Studio And Beauty Salon,Make-up Artist,Kothamangalam,919495444308.0,4.8,444.0,,,,none,,,98,195000,"You have 444 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Bhanu Kalaivani Wedding Make-up Studio Kerala India,Make-up Artist,Ernakulam,919497444473.0,5.0,430.0,,,,none,,,98,195000,"You have 430 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Sindhuram Beauty Parlour,Beauty Parlour,Kochi,919447361112.0,4.9,422.0,,,https://www.facebook.com/123645799541417/posts/123685276204136/?flite=scwspnss,social_only,,,90,195000,"You have 422 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Lechus Beauty Parlor,love Dale, Eranat Temple Road,palluruthy, Kochi-682006",Beauty Parlour,Kochi,919446092839.0,4.9,421.0,,,,none,,,100,195000,"You have 421 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Era Makeovers Family Beauty Parlour Kottakkal,Beauty Parlour,Kottakkal,917025122122.0,4.8,411.0,,,,none,,,98,195000,"You have 411 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Manavatty Makeup Studio,Beauty Parlour,Kottayam,919447897433.0,4.8,410.0,,https://www.instagram.com/manavattymakeupstudio?igsh=YnhmYnd0MXN2N3Nm,,social_only,,,88,195000,"You have 410 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
A To Z Events & Caters Thiruvanthapuram,Event Management Company,Malayinkeezh,918848780714.0,4.9,409.0,,,,none,,,98,1560000,"You have 409 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
GOLDEN CUP BRIDAL RENTAL JEWELLERY CALICUT,Bridal Shop,Kozhikode,917558093998.0,4.8,408.0,,,,none,,,100,195000,"You have 408 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Ziah Bridal Makeover-bridal Makeup Ernakulam, Bridal Makeup Kochi, Bridal Makeup Tripunithura, Freelance Makeup Artist Kochi",Make-up Artist,Ernakulam,919447668473.0,5.0,407.0,,,,none,,,98,195000,"You have 407 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Art Hub Tattoos,Tattoo Shop,Varkala,919447326072.0,5.0,405.0,,,,none,,,98,195000,"You have 405 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
GOLDEN CUP BRIDAL RENTAL JEWELLERY THRISSUR,Bridal Shop,Thrissur,917994323998.0,4.9,394.0,,,,none,,,100,195000,"You have 394 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
BE TO BE EVENTS,Event Management Company,Kattappana,919605091284.0,4.9,387.0,,,,none,,,98,1560000,"You have 387 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Aadityaa Beauty Clinic And Bridal Make Up Studio,Beauty Parlour,Kozhikode,919656032406.0,4.7,382.0,,,,none,,,100,195000,"You have 382 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
