name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Cochin Rahumania Caterers,Caterer,Thiruvananthapuram,919895344807.0,4.8,371.0,,100,390000,"You have 371 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Soorya Catering (pure Vegetarian),Caterer,Thiruvananthapuram,919947452733.0,4.9,233.0,,100,390000,"You have 233 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Panache Hair Skin Makeup- Beauty Parlour Kochi, Bridal Makeup Kochi, Microblading Kochi, Hair Extensions Kochi",Beauty Parlour,Kochi,917558050777.0,4.6,523.0,,100,195000,"You have 523 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Collab Hair Makeup Studio,Beauty Parlour,Kozhikode,919961993029.0,4.7,472.0,,100,195000,"You have 472 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Etc Makeover Studio,Health Spa,Kozhikode,919048636503.0,5.0,262.0,,100,195000,"You have 262 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
IMAC Institute Of Makeup & Cosmetology PVT.LTD,Training Center,Kozhikode,919387262626.0,4.8,607.0,,100,195000,"You have 607 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
FLAUNT Styling Lounge & SPA,Beauty Parlour,Kochi,919526892929.0,4.5,1099.0,,100,195000,"You have 1099 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Dora Bridal And Beauty Salon,Beauty Parlour,Kozhikode,919895228228.0,4.7,295.0,,100,195000,"You have 295 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
ADONIS BEAUTY LOUNGE,Beauty Parlour,Kozhikode,919895888157.0,4.9,676.0,,100,195000,"You have 676 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Urban Rituals | Unisex Salon | Fashion,Beauty Parlour,Kozhikode,918089001123.0,4.5,363.0,,100,195000,"You have 363 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Aadityaa Beauty Clinic And Bridal Make Up Studio,Beauty Parlour,Kozhikode,919656032406.0,4.7,382.0,,100,195000,"You have 382 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Belledonna,Beauty Parlour,Kozhikode,919846224871.0,5.0,896.0,,100,195000,"You have 896 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Swasti Saree Draping & Mehndi Studio,Stylist,Thiruvananthapuram,917012159920.0,4.9,337.0,,100,195000,"You have 337 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
The Makeover Bridal & Designing Studio,Make-up Artist,Thiruvananthapuram,918086145731.0,4.9,716.0,,100,195000,"You have 716 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Stay In Style Family Salon|bride&groom Makeover Studio-trivandrum,Beauty Parlour,Thiruvananthapuram,919061687603.0,4.6,211.0,,100,195000,"You have 211 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Ayna Beauty Parlour,Beauty Parlour,Kochi,918848786460.0,4.8,453.0,,100,195000,"You have 453 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Lechus Beauty Parlor,love Dale, Eranat Temple Road,palluruthy, Kochi-682006",Beauty Parlour,Kochi,919446092839.0,4.9,421.0,,100,195000,"You have 421 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Pink Makeovers Salon By Jaylaxmi,Beauty Parlour,Thiruvananthapuram,918891311383.0,4.7,275.0,,100,195000,"You have 275 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
GOLDEN CUP BRIDAL RENTAL JEWELLERY THRISSUR,Bridal Shop,Thrissur,917994323998.0,4.9,394.0,,100,195000,"You have 394 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Mayfair Ladies Salon Wellness & Spa/bridal Makeup,Beauty Parlour,Thiruvananthapuram,917356067466.0,4.8,1083.0,,100,195000,"You have 1083 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Dewdrops Bridal Makeover Studio,Beauty Parlour,Thiruvananthapuram,919496254087.0,4.7,211.0,,100,195000,"You have 211 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Lavandis Convention Centre,Convention Center,Kozhikode,917510555111.0,4.5,589.0,,100,195000,"You have 589 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Blush Women Salon,Beauty Parlour,Kozhikode,916235862229.0,4.8,275.0,,100,195000,"You have 275 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Subhaghosh Beauty Academy,Beauty School,Kochi,919846252514.0,4.7,225.0,,100,195000,"You have 225 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rehash Henna Studio / MEHNDI Designer Kochi,Mehndi Designer,Kochi,917025018171.0,5.0,255.0,,100,195000,"You have 255 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
OLE Beauty Parlour - Best Beauty Salon | Calicut,Beauty Parlour,Kozhikode,919447030587.0,4.5,228.0,,100,195000,"You have 228 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rans Beauty Salon And Bridal Makeover Studio,Beauty Parlour,Kochi,914844012220.0,4.9,539.0,,100,195000,"You have 539 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Naturals,Beauty Parlour,Thrissur,917592002200.0,4.7,2946.0,,100,195000,"You have 2946 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Hippie Nation Unisex Salon,Beauty Parlour,Thrissur,918139888823.0,4.7,282.0,,100,195000,"You have 282 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
LARRAA,Boutique,Thrissur,919544965773.0,4.8,204.0,,100,195000,"You have 204 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Elista Hair. Skin. Spa,Wellness Center,Thrissur,919072232223.0,4.5,247.0,,100,195000,"You have 247 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
City Collections Thrissur | Cosmetics | Salon Furniture | Salon Equipment,Beauty Products Wholesaler,Thrissur,919605351230.0,4.9,495.0,,100,195000,"You have 495 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Lulu Beauty Parlour,Beauty Parlour,Thrissur,918590421521.0,4.7,218.0,,100,195000,"You have 218 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"FIA BRIDAL STUDIO, Ladies Beauty Parlour&bridal Make-up, In Thirssur, Poonkunnam. ഫിയ ബ്രൈഡൽ സ്റ്റുഡിയോ,",Beauty Parlour,Thrissur,919744468899.0,5.0,287.0,,100,195000,"You have 287 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Shali's Unisex Beauty Salon,Beauty Parlour,Thrissur,918590916445.0,4.8,273.0,,100,195000,"You have 273 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
PARVATHY BEAUTY SALON & MAKEUP STUDIO,Beauty Parlour,Thiruvananthapuram,919645738174.0,4.7,208.0,,100,195000,"You have 208 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Tejaswi Beauty Care & Make Up Studio,Supermarket,Thiruvananthapuram,919586725274.0,4.9,547.0,,100,195000,"You have 547 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Femino Ferragamo Unisex Studio Saloon,Beauty Parlour,Thiruvananthapuram,918714815745.0,4.7,1116.0,,100,195000,"You have 1116 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Naturals,Beauty Parlour,Thrissur,917559011658.0,4.8,655.0,,100,195000,"You have 655 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Remikas Makeover,Beauty Parlour,Thrissur,917025746886.0,4.9,213.0,,100,195000,"You have 213 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Shamy's Newlook Beauty Spa & Makeup Studio,Beauty Parlour,Thrissur,919447380778.0,4.8,224.0,,100,195000,"You have 224 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Yellow Paris Make Over & Makeup Studio,Make-up Artist,Thrissur,918606320632.0,4.7,277.0,,100,195000,"You have 277 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Sruthi Lakshmi’s Beauty Zone,Beauty Parlour,Thrissur,918921584399.0,4.7,274.0,,100,195000,"You have 274 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Tres Beau By Aadharsh,Beauty Parlour,Thrissur,916238662847.0,4.9,852.0,,100,195000,"You have 852 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rao's SQUARE - Mini Hall (A/C),Wedding Venue,Thiruvananthapuram,917356528233.0,5.0,213.0,,100,1170000,"You have 213 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Josettan's CINEMA COMPANY RESTAURANT & CATERERS,Restaurant,Thrissur,919061438882.0,4.5,5574.0,,100,195000,"You have 5574 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Durbar Hall Ground,Event Venue,Kochi,914712321132.0,4.5,6829.0,,100,195000,"You have 6829 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Vallakkadavu Convention Centre,Convention Center,Thiruvananthapuram,914712082222.0,4.5,343.0,,100,195000,"You have 343 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Pride Kitchen Caterers & Events,Catering Food And Drink Supplier,Thrissur,918138002333.0,4.9,378.0,,100,195000,"You have 378 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Party Minds,Caterer,Kozhikode,918129156544.0,4.8,255.0,,100,390000,"You have 255 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
The Brahmins Veg Caters,Caterer,Kozhikode,919447951214.0,4.8,242.0,,100,390000,"You have 242 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Foodwey Caterers,Caterer,Kozhikode,918589801000.0,4.8,1712.0,,100,390000,"You have 1712 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Wedding Charms Bridal Jewellery Rentals,Jewelry Store,Thrissur,919567896663.0,4.8,293.0,,100,195000,"You have 293 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
GOLDEN CUP BRIDAL RENTAL JEWELLERY CALICUT,Bridal Shop,Kozhikode,917558093998.0,4.8,408.0,,100,195000,"You have 408 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Floral Wedding Stage Decoration & Event Planner,Event Planner,Kochi,918907006655.0,4.9,214.0,,100,1950000,"You have 214 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
ചിന്താമണി കല്യാണക്കത്തുകൾ Chinthaamani Wedding Cards,Invitation Printing Service,Thiruvananthapuram,919895078041.0,4.7,339.0,,100,195000,"You have 339 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Magnet Family Salon,Beauty Parlour,Kannur,917012838193.0,4.8,377.0,,98,195000,"You have 377 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Popular Event Management | Catering & Stage Decoration Kollam And Kottarakara,Event Management Company,Kollam,919526041701.0,4.8,798.0,,98,1560000,"You have 798 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Achoos Beauty Parlour,Beauty Parlour,Kannur,918281359906.0,5.0,239.0,,98,195000,"You have 239 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Holidays Garden Resort,,,917034208484.0,4.8,276.0,,98,195000,"You have 276 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Taste Of Malabar Caterers & Event Management Group,Catering Food And Drink Supplier,Kannur,916238599197.0,4.9,209.0,,98,195000,"You have 209 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rio Convention Centre,Convention Center,Manjeri,919207034535.0,4.6,231.0,,98,195000,"You have 231 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
WHITE ROSE EVENTS MANKADA,Event Management Company,Perinthalmanna,918943715555.0,4.8,546.0,,98,1560000,"You have 546 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Ziah Bridal Makeover-bridal Makeup Ernakulam, Bridal Makeup Kochi, Bridal Makeup Tripunithura, Freelance Makeup Artist Kochi",Make-up Artist,Ernakulam,919447668473.0,5.0,407.0,,98,195000,"You have 407 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Sweet Housecakes Wayanad,Cake Shop,,918606188618.0,4.9,257.0,,98,195000,"You have 257 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
MAHARANI SILKS,Clothing Store,Kalpetta,914936202000.0,4.9,2076.0,,98,195000,"You have 2076 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Jo & Jay Cake House,kumbazha",Takeout Restaurant,Pathanamthitta,919497751912.0,4.9,243.0,,98,195000,"You have 243 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
ORANGE WEDDING STORE,Clothing Store,Pathanamthitta,919895799201.0,4.7,1147.0,,98,195000,"You have 1147 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Bhanu Kalaivani Wedding Make-up Studio Kerala India,Make-up Artist,Ernakulam,919497444473.0,5.0,430.0,,98,195000,"You have 430 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Toni & Guy Essensuals - Beauty | Hair | Nail | Makeup | Best Salon In Calicut,Beauty Parlour,G. A College P. O,917510474474.0,4.8,1577.0,,98,195000,"You have 1577 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rock Paper Unisex Salon | Bride & Groom Wedding Makeover Studio Lekshminada,Beauty Parlour,Kollam,919895325333.0,4.6,511.0,,98,195000,"You have 511 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Dezert Hair And Beauty Salon,Beauty Parlour,Palathara,919745960111.0,4.7,1426.0,,98,195000,"You have 1426 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Wasava Cliff House,Event Venue,Kannur,919037386205.0,4.9,1379.0,,98,195000,"You have 1379 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Skin Sense Clinic,Dermatologist,Kannur,917356357776.0,4.7,684.0,,98,195000,"You have 684 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Ashtamudi Wellness, Dental Care,bridal Makeup & Beauty Salon In Kottiyam,best Bridal Studio In Kottiyam",Beauty Parlour,Kottiyam,914742534411.0,4.7,1497.0,,98,195000,"You have 1497 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
STYLX Gents Beauty Parlour,Beauty Parlour,Kollam,919633005033.0,5.0,5858.0,,98,195000,"You have 5858 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"AURA MAKEUP STUDIO KATTAPANA ( ഓറാ മേക്കപ്പ് സ്റ്റുഡിയോ, കട്ടപ്പന )",Beauty Parlour,Kattappana,919656745325.0,4.6,396.0,,98,195000,"You have 396 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Oska Unisex Salon,Beauty Parlour,Thodupuzha,919744557556.0,4.9,211.0,,98,195000,"You have 211 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
D Salon,Beauty Parlour,Neriamangalam,917306149154.0,4.9,505.0,,98,195000,"You have 505 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Meghana Beauty Parlour,Beauty Parlour,Nedumkandam,919447824756.0,4.8,242.0,,98,195000,"You have 242 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Achus Bridal Villa,Store,Muvattupuzha,919447820476.0,4.7,216.0,,98,195000,"You have 216 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Dain's Bridal Studio,Beauty Parlour,Kothamangalam,918921122476.0,4.8,356.0,,98,195000,"You have 356 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Mint Bridal Studio,Beauty Parlour,Ettumanoor,919544829586.0,4.7,204.0,,98,195000,"You have 204 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Regal's Lovely Lady Beauty Parlour,Beauty Parlour,Kottakkal,919495885886.0,4.7,662.0,,98,195000,"You have 662 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Essensuals Hairdressing By Toni&guy, Thodupuzha",Beauty Parlour,Thodupuzha,919562745060.0,4.6,1704.0,,98,195000,"You have 1704 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Heavenly Brides & Beauty (ladies Makeup Studio And Spa),Beauty Parlour,Erattupetta,918848710564.0,4.7,260.0,,98,195000,"You have 260 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Essensuals Hairdressing By Toni&guy, Kattapana",Beauty Parlour,Kattappana,919074409074.0,4.7,381.0,,98,195000,"You have 381 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
BLUSH AND GLOW THE COMPLETE BRIDAL STUDIO - Best Bridal Rental Dresses In Wandoor,Bridal Shop,Wandoor,918592077778.0,4.8,204.0,,98,195000,"You have 204 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Radhas Bridal Studio,Beauty Parlour,Manjeri,919744884497.0,4.9,986.0,,98,195000,"You have 986 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Le Belleza Unisex Salon,Beauty Parlour,Kollam,917907137741.0,4.8,881.0,,98,195000,"You have 881 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
De Jawed Habib Hair And Beauty Salon Kollam,Beauty Parlour,Kollam,917994995373.0,4.5,208.0,,98,195000,"You have 208 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
CHAMAYAM UNISEX SALON & MAKEOVER STUDIO,Beauty Parlour,Kallambalam,919747197235.0,4.8,638.0,,98,195000,"You have 638 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Clair Unisex Beauty Spa And Salon,Beauty Parlour,Pandalam,917909298948.0,4.8,1571.0,,98,195000,"You have 1571 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
JOANDGUY BRIDAL MAKE-UP STUDIO & UNISEX FAMILY SALON,Beauty Parlour,Ranni,918848201892.0,4.7,809.0,,98,195000,"You have 809 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Catleen Beauty Parlour Palakkad,Beauty Parlour,Palakkad,919744764470.0,4.5,205.0,,98,195000,"You have 205 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Neha Beauty Parlour (A/C), Ladies And Kids",Beauty Parlour,,918848933937.0,4.7,218.0,,98,195000,"You have 218 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
